total_return,sharpe,max_dd,ticker,hurst,vr_p,signals
0.0,0.0,0.0,ENE,0.45,0.2,0
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.45,0.15,16
-0.06965664014666817,-8.137803078765181,-0.06965664014666817,ENE,0.45,0.1,16
0.0,0.0,0.0,TAK,0.35,0.2,0
0.0,0.0,0.0,TAK,0.35,0.15,0
0.0,0.0,0.0,TAK,0.35,0.1,0
0.0,0.0,0.0,TAK,0.4,0.2,0
0.0,0.0,0.0,TAK,0.4,0.15,0
0.0,0.0,0.0,TAK,0.4,0.1,0
0.021647020161774666,3.8501336875184875,0.0,TAK,0.45,0.2,2
0.0,0.0,0.0,TAK,0.45,0.15,0
0.021647020161774666,3.8501336875184875,0.0,TAK,0.45,0.1,2
0.0,0.0,0.0,EIS,0.35,0.2,0
0.0,0.0,0.0,EIS,0.35,0.15,0
0.0,0.0,0.0,EIS,0.35,0.1,0
0.0,0.0,0.0,EIS,0.4,0.2,0
0.0,0.0,0.0,EIS,0.4,0.15,0
0.0,0.0,0.0,EIS,0.4,0.1,0
0.0,0.0,0.0,EIS,0.45,0.2,0
0.0,0.0,0.0,EIS,0.45,0.15,0
0.0,0.0,0.0,EIS,0.45,0.1,0
0.0,0.0,0.0,OLY,0.35,0.2,0
0.0,0.0,0.0,OLY,0.35,0.15,0
0.0,0.0,0.0,OLY,0.35,0.1,0
0.0,0.0,0.0,OLY,0.4,0.2,0
0.0,0.0,0.0,OLY,0.4,0.15,0
0.0,0.0,0.0,OLY,0.4,0.1,0
0.0,0.0,0.0,OLY,0.45,0.2,0
0.0,0.0,0.0,OLY,0.45,0.15,0
0.0,0.0,0.0,OLY,0.45,0.1,0
